Higher Taxonomy;Genus;Species;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18
Sauropodomorph;Jobaria;tiguidensis;0.312603237;0.666002;0.121177734;0.1757466;0.116609178;0.413132513;0.470034468;-0.070353248;0;-0.012605876;1.775415781;2.06647302;2.346254846;0.90988;0.543981213;?;?;?
Sauropodomorph;Turiasaurus;riodevensis;0.331250457;0.758470797;0.150991036;0.199460784;0.138610644;0.394503571;0.528892;-0.048189828;0;-0.027819945;1.249416115;1.76566602;1.535519657;0.82278;0.413794008;?;?;?
Sauropodomorph;Diplodocus;longus;0.545294036;0.620339461;0.117143933;0.1966503;0.148590623;0.577160563;0.11225073;-0.196517536;0;0;2.415924426;6.518652226;5.895006748;0.5857;0.388036101;0.26038371;139.22;?
Sauropodomorph;Diplodocus;sp.;0.493910671;0.61491716;0.200897425;0.168930312;0.120901678;0.389418353;0.168974789;-0.115338738;0.001028409;0.060110074;3.051872209;4.56121134;4.939196153;0.68806;0.554771;?;?;?
Sauropodomorph;Abrosaurus;dongpoensis;0.31068442;0.636588034;0.070310442;0.16535796;0.114575223;0.407732134;0.473643549;-0.035356175;0.007408642;0;2.54294653;2.193389356;6.569823663;0.74197;0.425873763;?;?;?
Sauropodomorph;Camarasaurus;grandis;0.412005969;0.788323011;0.078961973;0.231653981;0.159409121;0.494113149;0.465251583;-0.175842476;0;0;2.001135718;2.07015463;1.282051282;0.64269;0.53534668;?;?;?
Sauropodomorph;Camarasaurus;lentus;0.382469183;0.74678205;0.085553522;0.237631747;0.157949421;0.457420952;0.467750257;-0.173992725;0;-0.060996878;1.680688118;1.409356166;4.485969023;0.7553;0.298237912;?;?;?
Sauropodomorph;Camarasaurus;lentus;0.495353764;0.869893543;0.058452373;0.26685757;0.181112729;0.484753179;0.42466679;-0.151631663;0;-0.025580074;3.174130063;4.885355649;3.709925841;0.9544;0.865467563;0.208745908;121.744;?
Sauropodomorph;Europasaurus;holgeri;0.446132313;0.706120264;0.075675861;0.229889912;0.13762314;0.631378301;0.517706009;-0.2486774;0;-0.048581255;2.715737604;3.082187451;3.409146905;0.79958;0.647795795;0.216980648;120.579;?
Sauropodomorph;Brachiosaurus;sp.;0.455024702;0.770645798;0.111880019;0.264840319;0.158676868;0.494935824;0.41012416;-0.304129044;0;0.025648608;2.423888979;2.451888054;4.942437497;0.8673;0.58847361;?;?;?
Sauropodomorph;Giraffatitan;brancai;0.462555909;0.814419839;0.063988768;0.230830638;0.146319552;0.405988085;0.408510638;-0.210605957;0;-0.0595875;2.539427813;2.962254428;3.366554148;0.76109;0.488996004;0.169746383;115.454;?
Sauropodomorph;Euhelopus;zdanskyi;0.434990041;0.644665233;0.051528523;0.255452519;0.159967824;0.286171542;0.333482208;-0.06584159;0;-0.028559345;2.222726509;2.14265581;?;0.83224;0.636820785;?;?;?
Sauropodomorph;Abydosaurus;mcintoshi;0.337648951;0.580482248;0.036996271;0.214184835;0.136631604;0.424310636;0.42579919;-0.151879754;0;-0.026918486;2.461333707;2.965538847;7.540907817;0.8862;0.607887739;?;?;?
Sauropodomorph;Rapetosaurus;krausei;0.31909957;0.548683623;0.087115548;0.271596524;0.17371808;0.358547841;0.402010201;-0.064162838;0;0;1.58960356;2.35562599;4.003741909;0.77661;0.473818307;?;?;?
Sauropodomorph;Antarctosaurus;wichmannianus;0.283640769;0.333327706;0.085689384;0.204794439;0.140650295;0.653837457;0.138003041;-0.005209419;0;0;3.696024756;4.55420354;2.618662223;0.77391;0.519393401;?;?;?
Sauropodomorph;Bonitasaura;salgadoi;0.299852216;0.366127524;0.154555613;0.265306614;0.189380722;0.448604252;0.161466349;0.022425993;0;-0.080606227;1.215098862;1.763550472;5.225584182;0.8348;0.203388111;?;?;?
Sauropodomorph;Malawisaurus;dixeyi;0.432731913;0.919283641;0.141334359;0.213235321;0.159001018;0.360806134;0.489752632;-0.036456877;0;0.033052029;0.9913975;1.924479683;9.802142509;0.87663;0.429480572;?;?;?
Sauropodomorph;Quaesitosaurus;orientalis;0.3290866;0.418860484;0.108693812;0.23093336;0.162854691;0.493354889;0.202652271;-0.121488484;0;-0.122395327;?;?;?;?;?;?;?;?
Sauropodomorph;Tapuiasaurus;macedoi;0.40201494;0.54760826;0.058856626;0.205369991;0.144500827;0.524557313;0.275338434;-0.130563437;0;-0.15773543;4.419982119;5.722971526;6.672552526;0.83774;0.890862358;?;?;?
Sauropodomorph;Nemegtosaurus;mongoliensis;0.364969613;0.48157858;0.057387611;0.251361326;0.176905579;0.467783706;0.234571989;-0.105230192;0;-0.082390067;2.406463014;2.425393334;3.099091139;1.04311;0.46435825;?;?;?
Sauropodomorph;Titanosauria;indet.;0.376006266;0.577375384;0.073582525;0.185222795;0.136854747;0.365246354;0.335797555;-0.995328811;0;0;1.691358025;2.132723112;6.503703704;0.94899;0.300583658;?;?;?
Basal Ornithischia;Pisanosaurus;mertii;0.392435838;0.886892035;0.058743218;0.208512193;0.130170404;0.402422596;0.420917435;-0.133140013;0;-0.082888063;1.259728227;?;2.399629401;?;0.430319654;?;?;-0.023712211
Basal Ornithischia;Abrictosaurus (Lycorhinus);consors;0.302435906;0.907888092;0.097587646;0.215908917;0.121420519;0.266248949;0.47969741;-0.143195538;0;-0.084360763;1.68714507;?;6.039752194;?;0.507295871;?;?;-0.019836479
Basal Ornithischia;Heterodontosaurus;tucki;0.369757269;0.883945048;0.132065357;0.24270415;0.125009779;0.323207114;0.405689424;-0.159380379;0.012110627;-0.115280364;1.974325386;?;2.406340058;?;0.629311065;?;?;0.019975139
Basal Ornithischia;Manidens;condorensis;0.351650653;0.846209831;0.0988763;0.246588195;0.139666759;0.351096042;0.430420505;0.040536506;0;-0.084171414;2.301470588;?;2.705269608;?;0.480245493;?;?;-0.018018594
Basal Ornithischia;Tianyulong;confuciusi;0.19173664;0.426961654;0.051975013;0.227795062;0.143289832;0.406117935;0.364684302;0.088442103;0.017274845;0;1.721941355;?;2.446410516;?;0.401745695;?;?;0.003902386
Basal Ornithischia;Lesothosaurus;diagnosticus;0.303163086;0.779572715;0.103169368;0.162376238;0.093318948;0.301574186;0.48154427;-0.074179073;0.019984168;-0.055854683;1.05946935;?;5.576395242;?;0.373729224;?;?;0.014374243
Basal Ornithischia;Agilisaurus;louderbacki;0.249038383;0.854631242;0.156412145;0.184944685;0.096840983;0.23097926;0.553886201;-0.102099426;0;-0.05101465;1.637235318;?;2.938473831;?;0.593826982;?;?;-0.025436437
Thyreophora;Emausaurus;ernsti;0.305635609;0.885043083;0.053783971;0.199049728;0.12727272;0.301687315;0.541195587;-0.114704531;0.027329791;0.04866029;1.932370184;?;2.938473831;?;1.013173784;?;?;0.049179653
Thyreophora;Gigantospinosaurus;sichuanensis;0.398053368;0.774720809;0.07214705;0.255085578;0.171752678;0.451527962;0.496528578;-0.324940249;0.032050885;0.058658951;?;?;?;?;?;?;?;0.054611355
